Date,Closing Price,Return
107/06/26,214.50,-0.01606
107/06/27,213.00,-0.00699
107/06/28,212.00,-0.00469
107/06/29,216.50,0.02123
107/07/02,214.00,-0.01155
107/07/03,214.50,0.00234
107/07/04,216.00,0.00699
107/07/05,214.50,-0.00694
107/07/06,217.00,0.01166
107/07/09,221.50,0.02074
107/07/10,222.00,0.00226
107/07/11,220.00,-0.00901
107/07/12,220.50,0.00227
107/07/13,224.50,0.01814
107/07/16,223.50,-0.00445
107/07/17,221.50,-0.00895
107/07/18,223.00,0.00677
107/07/19,224.50,0.00673
107/07/20,237.50,0.05791
107/07/23,241.00,0.01474
107/07/24,241.00,0.0
107/07/25,240.50,-0.00207
107/07/26,241.00,0.00208
107/07/27,244.50,0.01452
107/07/30,245.50,0.00409
107/07/31,246.00,0.00204
107/08/01,248.00,0.00813
107/08/02,244.50,-0.01411
107/08/03,247.00,0.01022
107/08/06,245.50,-0.00607
107/08/07,241.50,-0.01629
107/08/08,247.50,0.02484
107/08/09,247.00,-0.00202
107/08/10,245.00,-0.0081
107/08/13,240.50,-0.01837
107/08/14,243.50,0.01247
107/08/15,241.50,-0.00821
107/08/16,239.00,-0.01035
107/08/17,239.50,0.00209
107/08/20,239.50,0.0
107/08/21,241.00,0.00626
107/08/22,242.00,0.00415
107/08/23,244.50,0.01033
107/08/24,243.50,-0.00409
107/08/27,245.00,0.00616
107/08/28,249.50,0.01837
107/08/29,259.00,0.03808
107/08/30,263.50,0.01737
107/08/31,256.00,-0.02846
107/09/03,257.00,0.00391
107/09/04,257.50,0.00195
107/09/05,264.00,0.02524
107/09/06,261.00,-0.01136
107/09/07,264.00,0.01149
107/09/10,264.50,0.00189
107/09/11,260.00,-0.01701
107/09/12,260.50,0.00192
107/09/13,255.00,-0.02111
107/09/14,261.00,0.02353
107/09/17,258.00,-0.01149
107/09/18,254.50,-0.01357
107/09/19,258.00,0.01375
107/09/20,260.00,0.00775
107/09/21,261.50,0.00577
107/09/25,263.50,0.00765
107/09/26,263.50,0.0
107/09/27,265.00,0.00569
107/09/28,262.50,-0.00943
107/10/01,263.00,0.0019
107/10/02,257.50,-0.02091
107/10/03,260.00,0.00971
107/10/04,254.00,-0.02308
107/10/05,250.00,-0.01575
107/10/08,243.50,-0.026
107/10/09,244.00,0.00205
107/10/11,227.50,-0.06762
107/10/12,237.00,0.04176
107/10/15,230.50,-0.02743
107/10/16,237.00,0.0282
107/10/17,238.50,0.00633
107/10/18,236.50,-0.00839
107/10/19,236.00,-0.00211
107/10/22,237.00,0.00424
107/10/23,230.00,-0.02954
107/10/24,229.50,-0.00217
107/10/25,219.50,-0.04357
107/10/26,221.00,0.00683
107/10/29,222.50,0.00679
107/10/30,223.00,0.00225
107/10/31,234.00,0.04933
107/11/01,235.50,0.00641
107/11/02,236.50,0.00425
107/11/05,235.00,-0.00634
107/11/06,234.50,-0.00213
107/11/07,234.00,-0.00213
107/11/08,236.50,0.01068
107/11/09,231.00,-0.02326
107/11/12,231.50,0.00216
107/11/13,227.50,-0.01728
107/11/14,228.50,0.0044
107/11/15,231.00,0.01094
107/11/16,226.00,-0.02165
107/11/19,222.00,-0.0177
107/11/20,218.00,-0.01802
107/11/21,219.00,0.00459
107/11/22,219.00,0.0
107/11/23,218.50,-0.00228
107/11/26,223.00,0.02059
